station_name,out_degree,in_degree,out_strength,in_strength,betweenness,closeness,pagerank,eigenvector
Kurkimäki,86,76,715.0,651.0,0.0,62.426728690925906,0.0006788962397703564,7.360886839908267e-06
Länsiterminaali,174,159,8712.0,9190.0,0.0,141.3213920175611,0.0006774508457880657,0.012509736116154867
Porvarintie,34,34,205.0,215.0,0.0,21.72902677676756,0.000672383451231363,1.281398620509049e-06
Lallukankuja,83,75,607.0,595.0,0.0,37.670188417756314,0.0006645890931129846,4.872647490017621e-06
Pajupillintie,103,100,851.0,780.0,0.0,64.76981614471914,0.0006630064617985344,4.22512750723112e-05
Honkasuo,57,52,572.0,575.0,0.0,38.485391974951206,0.0006627833305214251,1.3858218671657518e-05
Humikkalankuja,63,57,514.0,481.0,0.0,35.13991341457313,0.0006473267765826534,4.6433867752530615e-06
Postipuisto,192,210,2621.0,2610.0,0.0,80.17152895777478,0.0006357322088455218,0.0006200945884418372
Vähäntuvantie,103,97,1283.0,1260.0,0.0,76.94573077954806,0.000617385442307978,5.774138066954254e-05
Trumpettikuja,74,78,605.0,598.0,0.0,43.045457957792756,0.0006069033290525272,2.0712707028610633e-05
Malminkartanonhuippu,75,67,577.0,478.0,0.0,26.0105497687448,0.0006061232577555592,2.095106539885286e-05
Piikintie,88,100,588.0,599.0,0.0,44.71101722526383,0.0006053755171480672,3.095183320302601e-05
Vartioharjuntie,63,64,601.0,590.0,0.0,68.90722191893332,0.0006042253838400066,7.168808491218553e-06
Verkkosaari,206,192,4517.0,4516.0,0.0,94.42711085513722,0.0005972191863330603,0.0021395576520114785
Kaustisentie,78,93,711.0,688.0,0.0,64.26860447562049,0.0005954090087756695,3.125135513078773e-05
Bermudankuja,163,157,6634.0,6653.0,0.0,143.39487711345797,0.0005931646315455708,0.00969211753827683
Sallatunturintie,57,58,388.0,310.0,0.0,36.35671389726071,0.0005818248073655175,3.231804018959218e-06
