station_name,latitude,longitude,community,pagerank
Vanha Tapanilantie,60.2596990442275,24.989753876865596,inf_9,0.0009705228837010676
Lystimäki,60.172814,24.745666,inf_3,0.0010037749606248863
Designmuseo,60.16310319166,24.9459599998806,inf_0,0.00247790912977847
Päijänteentie,60.1920575919922,24.9642238002852,inf_9,0.0017896814440723238
Sörnäinen (M),60.187712639000004,24.960554135,inf_6,0.006933584387633229
Länsiterminaali,60.1504730320499,24.9152135431213,inf_7,0.0006774508457880657
Pajupillintie,60.2432353029777,24.886102625501596,inf_1,0.0006630064617985344
Linnanmäki,60.1911410923558,24.9401592995968,inf_6,0.0044183405042565686
Baana,60.1641173724871,24.9225706207902,inf_7,0.005297268154006288
Mannerheimintie,60.1690723919948,24.9394194995361,inf_7,0.00485708297136689
Etuniementie,60.160645,24.724835,inf_3,0.0010340435481441222
Porvarintie,60.27189034,25.032655333,inf_9,0.000672383451231363
Tilkanvierto,60.1975748220279,24.8992505554038,inf_1,0.0042614195431840175
Rautatientori / itä,60.170823591711404,24.9425267992462,inf_0,0.007270560280113216
Länsituuli,60.175358,24.802049,inf_3,0.00451494622240921
Näkinsilta,60.179750209022,24.9554449266327,inf_9,0.004987099842483954
Sepetlahdentie,60.152343,24.741233999999995,inf_3,0.0017735939644348702
Paciuksenkaari,60.1944474917836,24.891117900125295,inf_1,0.0031507168076578143
Korkeasaari,60.179906132018594,24.982526933802305,inf_9,0.0009504623303840073
Heikinlaakso,60.2701965544061,25.0727127107009,inf_9,0.000748369099635791
Jätkäsaarenlaituri,60.1619310923994,24.9214896008223,inf_7,0.004812513078482454
Väärämäentie,60.2426928298539,25.0297267023462,inf_9,0.0008946995412736554
Messeniuksenkatu,60.1878351921237,24.9180102002596,inf_6,0.004210367109237464
Keilaniemi (M),60.17523299999999,24.828949999999995,inf_3,0.0021523696197726376
Lukutori,60.187052,24.742571,inf_3,0.001046410617923075
Oulunkylän asema,60.2291001546027,24.9667185624345,inf_9,0.002786160147441224
Mustikkamaa,60.181844391759,24.992105405271005,inf_9,0.0018388067085571497
Haapaniemenkatu,60.1831601093456,24.9551952848707,inf_0,0.0025836032524954723
Länsisatamankatu,60.15892759170599,24.9096920006591,inf_7,0.004292746520616323
Töölönkatu,60.1775346191328,24.9283525094474,inf_2,0.004098481724496559
Verkatehtaanpuisto,60.2136895158892,24.9797491905267,inf_9,0.004116314429244651
Sammonpuistikko,60.1731472920894,24.9224112000483,inf_7,0.002882033986456926
Viljelijäntie,60.2432334444678,24.8572979635334,inf_1,0.0008569159313929456
Munkkiniemen aukio,60.1967237851281,24.884019388453297,inf_1,0.003343172941559487
Töyrynummi,60.2671467662216,24.9929902179008,inf_9,0.0009530833382717768
Abraham Wetterin tie,60.1927661994999,25.0426533906378,inf_5,0.002398994409668214
Arabiankatu,60.2064915569171,24.9770790121958,inf_9,0.0037483303951079444
Thalianaukio,60.2253423108921,24.8947958642764,inf_1,0.0015365128180586623
Kaivopuisto,60.155369615074,24.9502114714031,inf_0,0.0047619485836088975
Karhusuontie,60.2517795830055,24.9870649315623,inf_9,0.0008336098696753389
Kamppi (M),60.168609492141,24.9305373005364,inf_7,0.008299309710903112
Teerisuontie,60.2533940877891,25.0214900833646,inf_9,0.0015254967626893256
Tyynenmerenkatu,60.1568077714966,24.9203435489542,inf_7,0.004897321701249596
Viiskulma,60.1609858921764,24.9417758006418,inf_7,0.003739501400644427
Jollas,60.1644074899774,25.0616678668253,inf_5,0.000496318534970617
Lepolantie,60.2390854029504,24.928604655708202,inf_9,0.0012217465264279992
Elimäenkatu,60.1962195625714,24.9476290451587,inf_6,0.0024858701795456603
Brahen puistikko,60.1896657985504,24.9481257001872,inf_6,0.003446944676003384
Pukinmäen liikuntapuisto,60.2477323351629,24.9917239060614,inf_9,0.0012464144973917263
Myllypuro (M),60.2240882550803,25.075390168584295,inf_5,0.0034681427847638884
Radiokatu,60.2050064264488,24.9182184498931,inf_6,0.0011731661767451973
Helluntairaitti,60.2632142978322,25.0368876017095,inf_9,0.0011824169060330805
Tontunmäentie,60.176107,24.769667,inf_3,0.001417864974057131
Nordenskiöldinaukio,60.1852461094041,24.9172924251712,inf_1,0.0023565236147449027
Leppävaarankäytävä,60.220254000000004,24.813437,inf_8,0.005572333082962861
Laajalahden keskus,60.203892,24.80493,inf_8,0.001135006325334931
