station_name,pagerank,betweenness,out_strength,in_strength,z_pagerank,z_betweenness,z_out_strength,z_in_strength,bridge_vs_popularity,pagerank_eps,betweenness_eps
Rukatunturintie,0.0008791752127011139,0.0,697.0,796.0,-0.80868625913984,-0.2991432458234928,-0.7067502321695563,-0.6990807398398644,0.5095430133163472,0.000879185212701114,1e-08
Sinkilätie,0.0008857656354728906,0.0,715.0,706.0,-0.8047325506478403,-0.2991432458234928,-0.7063130383013099,-0.7012503692396502,0.5055893048243476,0.0008857756354728907,1e-08
Väärämäentie,0.0008946995412736556,0.0,845.0,711.0,-0.7993729461953801,-0.2991432458234928,-0.7031555270306412,-0.7011298342729955,0.5002297003718874,0.0008947095412736556,1e-08
Hämeenlinnanväylä,0.0009011171928467556,0.0,5056.0,5064.0,-0.7955228861306567,-0.2991432458234928,-0.6008764504092122,-0.5961920923033507,0.4963796403071639,0.0009011271928467556,1e-08
Jakomäki,0.0009568531922737964,0.001185682326621924,460.0,437.0,-0.762085897051825,-0.27203386144939273,-0.7125066181014676,-0.707735150445677,0.4900520356024322,0.0009568631922737965,0.0011856923266219239
Punakiventie,0.0009158859253548527,0.0,850.0,854.0,-0.7866628683206622,-0.2991432458234928,-0.7030340842894617,-0.697682534226669,0.48751962249716946,0.0009158959253548528,1e-08
Lystimäensilta,0.0009193340889839303,0.0,5176.0,5242.0,-0.7845942553812203,-0.2991432458234928,-0.5979618246209026,-0.5919010474904408,0.4854510095577275,0.0009193440889839304,1e-08
Itäkeskus Metrovarikko,0.0009195788932679798,0.0,2703.0,2686.0,-0.7844473930614206,-0.2991432458234928,-0.6580274044083151,-0.6535185224443604,0.48530414723792786,0.0009195888932679798,1e-08
Sateenkaarentie,0.0009248268713799608,4.496756714219869e-05,352.0,363.0,-0.7812990403159753,-0.2981151095051425,-0.7151297813109462,-0.7095190679521677,0.48318393081083283,0.0009248368713799609,4.497756714219869e-05
Koskelan varikko,0.0009305097123475244,0.0,7841.0,7762.0,-0.7778898058297813,-0.2991432458234928,-0.5332328435721949,-0.5311514242964356,0.4787465600062885,0.0009305197123475245,1e-08
Ajomiehentie,0.0011932986869326394,0.00684631209739975,2302.0,2329.0,-0.6202381594330567,-0.14260949135466847,-0.6677671122509162,-0.6621247190635111,0.4776286680783882,0.0011933086869326394,0.00684632209739975
Hauenkallio,0.0009356313141156606,0.0,5801.0,5451.0,-0.7748172684365752,-0.2991432458234928,-0.5827814819734571,-0.5868626858842713,0.4756740226130824,0.0009356413141156606,1e-08
Sähkömies,0.001215516213599526,0.007225950782997763,7751.0,8018.0,-0.606909481304807,-0.13392945048699653,-0.5354188129134271,-0.5249800340037112,0.4729800308178105,0.0012155262135995258,0.007225960782997763
Golfpolku,0.0009431885924551656,0.0,6083.0,5998.0,-0.7702835265838881,-0.2991432458234928,-0.5759321113709297,-0.5736761605322392,0.4711402807603953,0.0009431985924551657,1e-08
Vallipolku,0.0009439985328512227,0.0,5197.0,4174.0,-0.7697976293459116,-0.2991432458234928,-0.5974517651079485,-0.6176473163679002,0.4706543835224188,0.0009440085328512228,1e-08
Ilmalan asema,0.0009448599808690137,0.0,8884.0,7153.0,-0.7692808317956933,-0.2991432458234928,-0.5078998877621378,-0.5458325832349868,0.4701375859722005,0.0009448699808690137,1e-08
Korkeasaari,0.0009504623303840072,0.0,12232.0,12175.0,-0.7659198855226504,-0.2991432458234928,-0.4265818282683016,-0.4247672627269335,0.46677663969915767,0.0009504723303840072,1e-08
Kirkkoherrantie,0.0009509053669151293,0.0,5972.0,5811.0,-0.7656541002527182,-0.2991432458234928,-0.578628140225116,-0.5781841682851278,0.4665108544292254,0.0009509153669151293,1e-08
Innopoli,0.0009517063704884373,0.0,6051.0,5630.0,-0.7651735643691218,-0.2991432458234928,-0.5767093449144789,-0.5825475340780305,0.466030318545629,0.0009517163704884374,1e-08
Töyrynummi,0.0009530833382717768,0.0,438.0,497.0,-0.7643474976042529,-0.2991432458234928,-0.7130409661626578,-0.7062887308458198,0.46520425178076014,0.0009530933382717768,1e-08
Kustaankartano,0.0010021457003368346,0.0012478499881960136,6162.0,5324.0,-0.7349141388878911,-0.27061246298927355,-0.5740133160602926,-0.5899242740373025,0.4643016758986176,0.0010021557003368345,0.0012478599881960136
Mäkkylän asema,0.0010401704597174954,0.0022371364653243847,6032.0,5475.0,-0.7121024287327573,-0.24799346398556824,-0.5771708273309613,-0.5862841180443285,0.4641089647471891,0.0010401804597174953,0.0022371464653243847
Postipuun koulu,0.0009551299250179089,0.0,4659.0,4340.0,-0.7631197148537368,-0.2991432458234928,-0.6105190040588696,-0.6136455554749617,0.463976469030244,0.000955139925017909,1e-08
Kannelmäen liikuntapuisto,0.0009622145279609673,0.0,1155.0,1200.0,-0.7588695391383987,-0.2991432458234928,-0.6956260770775082,-0.6893415145341587,0.45972629331490594,0.0009622245279609674,1e-08
Pihlajamäki,0.0013703994430996358,0.010691039088057738,6217.0,5948.0,-0.5139923558109237,-0.054703836135722814,-0.5726774459073174,-0.574881510198787,0.4592885196752009,0.0013704094430996357,0.010691049088057738
Savela,0.0009831287234272762,0.0005283689139208346,1510.0,1739.0,-0.746322751916705,-0.2870626440828774,-0.6870036424537591,-0.6763478451287743,0.45926010783382765,0.0009831387234272761,0.0005283789139208347
Tollinpolku,0.0012365765716337454,0.0071588366890380315,1306.0,1378.0,-0.594275008633185,-0.13546394394213426,-0.6919585062938853,-0.6850504697212488,0.4588110646910508,0.0012365865716337454,0.0071588466890380315
Vanha Tapanilantie,0.0009705228837010679,0.0,631.0,674.0,-0.7538852129757642,-0.2991432458234928,-0.7083532763531265,-0.7020217930262408,0.4547419671522714,0.0009705328837010679,1e-08
Haakoninlahdenkatu,0.00097840090784402,0.0,3450.0,4063.0,-0.7491590501736513,-0.2991432458234928,-0.6398838588760882,-0.6203231926276361,0.4500158043501585,0.0009784109078440199,1e-08
Leikosaarentie,0.000980063077380061,0.0,1093.0,1027.0,-0.7481618859495393,-0.2991432458234928,-0.6971319670681349,-0.6935120243804139,0.4490186401260465,0.0009800730773800608,1e-08
Tilketori,0.0009993238369409923,0.0,836.0,831.0,-0.7366070234960204,-0.2991432458234928,-0.7033741239647644,-0.698236995073281,0.4374637776725276,0.0009993338369409922,1e-08
Tietäjä,0.0009997656247495816,0.0,7823.0,6098.0,-0.7363419873563114,-0.2991432458234928,-0.5336700374404414,-0.5712654611991438,0.4371987415328186,0.0009997756247495816,1e-08
Lystimäki,0.0010037749606248859,0.0,5699.0,6116.0,-0.7339367174902637,-0.2991432458234928,-0.5852589138935202,-0.5708315353191866,0.4347934716667709,0.0010037849606248858,1e-08
Siilitie 13,0.0010069981997947856,0.0,4834.0,3950.0,-0.732003040620192,-0.2991432458234928,-0.6062685081175848,-0.623047282874034,0.43285979479669917,0.0010070081997947855,1e-08
Laulurastaantie,0.0010090932805535686,0.0,630.0,661.0,-0.7307461654735931,-0.2991432458234928,-0.7083775649013625,-0.7023351839395432,0.4316029196501003,0.0010091032805535686,1e-08
Herttoniemen kirkko,0.001014342840378131,0.0,7333.0,6172.0,-0.7275968638314411,-0.2991432458234928,-0.5455714260760386,-0.5694815436926531,0.4284536180079483,0.0010143528403781308,1e-08
Muotoilijankatu,0.00101826101780929,0.0,10235.0,10385.0,-0.7252462814910976,-0.2991432458234928,-0.47508605909541957,-0.46791878078934196,0.4261030356676048,0.00101827101780929,1e-08
Malmin sairaala,0.0010201034497325026,0.0,836.0,763.0,-0.7241409747462964,-0.2991432458234928,-0.7033741239647644,-0.6998762706197859,0.4249977289228036,0.0010201134497325026,1e-08
Käskynhaltijantie,0.0010328892476135774,1.1185682326621925e-05,5415.0,4622.0,-0.7164705536807644,-0.2988874969143031,-0.5921568615925195,-0.6068473833556326,0.4175830567664613,0.0010328992476135773,1.1195682326621924e-05
Etuniementie,0.0010340435481441224,0.0,6446.0,6237.0,-0.7157780688481555,-0.2991432458234928,-0.5671153683612934,-0.5679145891261411,0.41663482302466276,0.0010340535481441224,1e-08
Toppelundintie,0.001036260024652914,0.0,6216.0,6497.0,-0.714448366293616,-0.2991432458234928,-0.5727017344555533,-0.561646770860093,0.4153051204701232,0.001036270024652914,1e-08
Lukutori,0.0010464106179230747,0.0,5686.0,6076.0,-0.7083588500059909,-0.2991432458234928,-0.5855746650205871,-0.5717958150524247,0.4092156041824981,0.0010464206179230746,1e-08
Itäportti,0.001051964503892374,0.0,6909.0,6280.0,-0.7050269778513769,-0.2991432458234928,-0.5558697705280657,-0.56687798841291,0.40588373202788414,0.001051974503892374,1e-08
